"nome italiano"|"nome inglese"
"catacombe"|"catacombs"
"monumenti"|"monuments"
"sepolcri"|"sepulchres"
"ville e aree archeologiche"|"villas and archaeological areas"
"fontane"|"fountains"
"luoghi di interesse"|"places of interest"
"palazzi"|"palaces"
"ponti"|"bridges"
"statue"|"statues"
"vie e piazze"|"streets and squares"
"gallerie private"|"private galleries"
"musei"|"museums"
"sedi espositive"|"exhibition venues"
"accademie e istituti"|"academies and institutes"
"archivi"|"archives"
"biblioteche"|"libraries"
"case della cultura"|"houses of culture"
"going informagiovani"|"going informagiovani"
"ludoteche"|"children's recreation centres"
"itinerari"|"itineraries"
"anglicani"|"anglican"
"buddhisti"|"buddhist"
"cattolici"|"catholic"
"ebraici"|"hebrew"
"evangelici"|"evangelical"
"musulmani"|"muslim"
"ortodossi"|"orthodox"
"protestanti"|"protestant"
"valdesi"|"waldenses"
"cinema"|"cinema"Ò
"ballo"|"dance"
"musica dal vivo"|"live music"
"sale da concerto"|"concert halls"
"sedi fieristiche"|"fair venues"
"spazi aperti"|"open spaces"
"spazi polifunzionali"|"multipurpose spaces"
"teatri"|"theatres"
"punti panoramici"|"panoramic points"
"antiquari"|"antique shops"
"botteghe artigianali"|"artisan workshops"
"botteghe storiche"|"historical workshops"
"centri commerciali"|"shopping centres"
"grandi magazzini"|"department stores"
"libri, musica e video"|"books, music and videos"
"mercati e mercatini"|"markets and local markets"
"supermercati"|"supermarkets"
"centri benessere"|"spa"
"coni e federazioni"|"coni and leagues"
"impianti"|"sport centres"
"parchi di divertimento"|"amusement parks"
"stabilimenti balneari"|""
"strutture culturali"|"cultural structures"
"giardini, ville e parchi urbani"|"gardens, villas and urban parks"
"riserve e parchi naturali"|"reserves and natural parks"
"eventi e spettacoli"|"events and shows"
"incontri"|"meetings"
"visite guidate e didattica"|"guided tours and educational visits"
"mostre"|"exhibitions"
"manifestazioni"|"manifestations"
"danza"|"dance"
"teatro"|"theater"
"musica"|"music"
"sport"|"sport"
